invoice_id,payment_date,vendor,cost_category,mwh,rate_per_mwh,amount_paid,status
INV-PWR-2026-01,2026-01-15,Prairie Grid Power,Mining power,2600,100,260000,PAID
INV-OH-2026-01,2026-01-20,Northline Facilities,Overhead,,,60000,PAID
INV-PWR-2026-02,2026-02-15,Prairie Grid Power,Mining power,2700,100,270000,PAID
INV-OH-2026-02,2026-02-20,Northline Facilities,Overhead,,,70000,PAID
INV-PWR-2026-03,2026-03-15,Prairie Grid Power,Mining power,2700,100,270000,PAID
INV-OH-2026-03,2026-03-20,Northline Facilities,Overhead,,,70000,PAID
INV-PWR-2026-04,2026-04-15,Prairie Grid Power,Mining power,2600,100,260000,PAID
INV-OH-2026-04,2026-04-20,Northline Facilities,Overhead,,,60000,PAID
INV-PWR-2026-05,2026-05-15,Prairie Grid Power,Mining power,2700,100,270000,PAID
INV-OH-2026-05,2026-05-20,Northline Facilities,Overhead,,,70000,PAID
INV-PWR-2026-06,2026-06-15,Prairie Grid Power,Mining power,2700,100,270000,PAID
INV-OH-2026-06,2026-06-20,Northline Facilities,Overhead,,,70000,PAID
INV-PWR-2026-07,2026-07-15,Prairie Grid Power,Mining power,2600,100,260000,PAID
INV-OH-2026-07,2026-07-20,Northline Facilities,Overhead,,,60000,PAID
INV-PWR-2026-08,2026-08-15,Prairie Grid Power,Mining power,2700,100,270000,PAID
INV-OH-2026-08,2026-08-20,Northline Facilities,Overhead,,,70000,PAID
INV-PWR-2026-09,2026-09-15,Prairie Grid Power,Mining power,2700,100,270000,PAID
INV-OH-2026-09,2026-09-20,Northline Facilities,Overhead,,,70000,PAID
